Id,Designator,Package,Quantity,Designation,MPN,Digikey part #,Unit cost,Total cost,
1,C1,C_0402_1005Metric,1,0.1uF,C41851,,,0,
2,C2,C_0402_1005Metric,1,150nF,C387961,,,0,
3,"J1,J2",SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,2,Speaker,BPJR03AUX,SC2805-ND,3.08,6.16,
4,"J3,J4",40 Pin Ribbon Connector,2,40_Pin_Ribbon_Connector,XG4A-4035,Z6486-ND,3.75,7.5,
5,J5,BarrelJack_Horizontal,1,Barrel_Jack,54-00130,839-1513-ND,1.03,1.03,
6,J6,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,Breaker,4435.0201,486-4528-ND,10.44,10.44,
7,"J7,J8",SPTD,2,Conn_02x04_Top_Bottom,1841513,277-10317-ND,5.84,11.68,
8,"R1,R11,R12,R13,R14,R15,R26,R27,R28,R29,R39,R40,R41,R42,R51,R52,R53,R54,R63,R64,R65,R66,R75,R76,R77,R78,R85,R86,R87,R94,R95,R96",R_0402_1005Metric,32,383,RT0402FRE07383RL,13-RT0402FRE07383RLCT-ND,0.073,2.336,
9,"R105,R106,R107,R108,R109,R110,R111,R112",R_0402_1005Metric,8,2.67k,RC0402FR-072K67L,311-2.67KLRCT-ND,0.014,0.112,"At quantity 10, total cost is 0.14"
10,"R2,R3,R4,R5,R6,R7,R8,R9,R10,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R30,R31,R32,R33,R34,R35,R36,R37,R38,R43,R44,R45,R46,R47,R48,R49,R50,R55,R56,R57,R58,R59,R60,R61,R62,R67,R68,R69,R70,R71,R72,R73,R74,R79,R80,R81,R82,R83,R84,R88,R89,R90,R91,R92,R93",R_0402_1005Metric,64,6.7k,RC0402FR-076K8L,311-6.80KLRCT-ND,0.0058,0.3712,"At quantity 100, total cost is 0.58"
11,"R97,R98,R99,R100,R101,R102,R103,R104",R_0402_1005Metric,8,10k,C25744,,,0,
12,"U1,U2,U3,U4,U7,U8,U9,U11,U13,U14",SOP-16_4.4x10.4mm_P1.27mm,10,LTV-247,LTV-247,160-2255-2-ND,0.812,8.12,
13,U45,TSSOP-16_4.4x5mm_P0.65mm,1,DAC8565,DAC8565IAPW,296-22924-5-ND,18.12,18.12,
14,"U5,U6,U10,U12,U44",SOIC-16_3.9x9.9mm_P1.27mm,5,ULN2003A,ULN2003ADRG3,4518-ULN2003ATR-ND,0.74,3.7,
15,XA1,Arduino_Mega2560_Shield,1,Arduino_Mega2560,A000067,1050-1018-ND,48.4,48.4,
16,Enclosure,,1,"BOX ALUM BLACK 6.299""L X 4.921""W",1455Q1602BK,HM3010-ND,32.66,32.66,
17,Combined PCB (panels and main),,1,,,JLCPCB,10.62,10.62,"At quantity 5, total cost is 51.3"
